time,flex,add,introt,ant,prox,lat
0.000,56.805,5.653,2.759,3.634,-0.022,2.785
0.010,56.971,5.726,2.846,3.688,-0.009,2.785
0.020,57.136,5.799,2.933,3.743,0.004,2.786
0.030,57.299,5.871,3.020,3.797,0.017,2.786
0.040,57.460,5.943,3.106,3.850,0.030,2.786
0.050,57.619,6.015,3.193,3.904,0.042,2.785
0.060,57.777,6.087,3.280,3.957,0.054,2.785
0.070,57.933,6.158,3.367,4.010,0.066,2.784
0.080,58.087,6.229,3.455,4.063,0.078,2.782
0.090,58.239,6.300,3.542,4.115,0.090,2.780
0.100,58.389,6.370,3.629,4.167,0.102,2.778
0.110,58.537,6.440,3.716,4.219,0.114,2.776
0.120,58.684,6.509,3.803,4.270,0.125,2.773
0.130,58.829,6.578,3.891,4.321,0.136,2.770
0.140,58.971,6.647,3.978,4.371,0.147,2.767
0.150,59.112,6.715,4.065,4.421,0.158,2.763
0.160,59.251,6.782,4.152,4.470,0.169,2.759
0.170,59.388,6.849,4.240,4.519,0.179,2.754
0.180,59.523,6.916,4.327,4.567,0.190,2.749
0.190,59.656,6.982,4.414,4.615,0.200,2.744
0.200,59.787,7.047,4.501,4.662,0.210,2.738
0.210,59.916,7.112,4.588,4.708,0.220,2.732
0.220,60.043,7.177,4.675,4.754,0.230,2.725
0.230,60.169,7.240,4.762,4.799,0.239,2.718
0.240,60.292,7.303,4.849,4.843,0.249,2.711
0.250,60.413,7.366,4.936,4.887,0.258,2.703
0.260,60.532,7.427,5.023,4.930,0.267,2.695
0.270,60.649,7.489,5.109,4.973,0.276,2.687
0.280,60.764,7.549,5.196,5.014,0.285,2.678
0.290,60.877,7.609,5.282,5.055,0.294,2.668
0.300,60.988,7.668,5.369,5.095,0.302,2.658
0.310,61.097,7.726,5.455,5.134,0.311,2.648
0.320,61.204,7.784,5.541,5.173,0.319,2.637
0.330,61.309,7.840,5.627,5.210,0.327,2.626
0.340,61.411,7.896,5.713,5.247,0.335,2.615
0.350,61.512,7.952,5.798,5.282,0.342,2.603
0.360,61.610,8.006,5.884,5.317,0.350,2.590
0.370,61.707,8.060,5.969,5.351,0.357,2.577
0.380,61.801,8.112,6.054,5.384,0.365,2.564
0.390,61.893,8.164,6.139,5.416,0.372,2.550
0.400,61.983,8.215,6.224,5.448,0.379,2.536
0.410,62.071,8.266,6.308,5.478,0.385,2.521
0.420,62.157,8.315,6.393,5.507,0.392,2.506
0.430,62.241,8.363,6.477,5.535,0.398,2.490
0.440,62.322,8.411,6.561,5.562,0.405,2.474
0.450,62.401,8.458,6.644,5.589,0.411,2.457
0.460,62.479,8.503,6.728,5.614,0.417,2.440
0.470,62.554,8.548,6.811,5.638,0.423,2.423
0.480,62.626,8.592,6.894,5.661,0.428,2.405
0.490,62.697,8.635,6.977,5.683,0.434,2.386
0.501,62.766,8.677,7.059,5.704,0.439,2.367
0.511,62.832,8.718,7.141,5.724,0.444,2.348
0.521,62.896,8.757,7.223,5.743,0.449,2.328
0.531,62.958,8.796,7.304,5.760,0.454,2.308
0.541,63.018,8.834,7.386,5.777,0.459,2.287
0.551,63.076,8.871,7.467,5.792,0.464,2.266
0.561,63.132,8.907,7.547,5.807,0.468,2.244
0.571,63.185,8.942,7.627,5.820,0.472,2.222
0.581,63.236,8.975,7.707,5.832,0.476,2.199
0.591,63.285,9.008,7.787,5.843,0.480,2.176
0.601,63.332,9.040,7.866,5.853,0.484,2.152
0.611,63.377,9.070,7.945,5.862,0.488,2.128
0.621,63.419,9.100,8.024,5.870,0.492,2.104
0.631,63.459,9.128,8.102,5.877,0.495,2.079
0.641,63.497,9.155,8.180,5.882,0.498,2.053
0.651,63.533,9.181,8.257,5.886,0.501,2.027
0.661,63.567,9.207,8.334,5.890,0.504,2.001
0.671,63.599,9.230,8.411,5.892,0.507,1.974
0.681,63.628,9.253,8.487,5.893,0.510,1.947
0.691,63.655,9.275,8.563,5.893,0.512,1.919
0.701,63.680,9.296,8.638,5.891,0.515,1.891
0.711,63.703,9.315,8.713,5.889,0.517,1.862
0.721,63.724,9.333,8.788,5.886,0.519,1.833
0.731,63.742,9.351,8.862,5.881,0.521,1.804
0.741,63.759,9.367,8.935,5.876,0.523,1.774
0.751,63.773,9.381,9.008,5.869,0.525,1.743
0.761,63.785,9.395,9.081,5.861,0.526,1.712
0.771,63.795,9.408,9.153,5.852,0.528,1.681
0.781,63.803,9.419,9.225,5.842,0.529,1.649
0.791,63.808,9.429,9.296,5.831,0.530,1.617
0.801,63.812,9.438,9.367,5.819,0.531,1.585
0.811,63.813,9.446,9.437,5.806,0.532,1.552
0.821,63.812,9.453,9.507,5.792,0.533,1.519
0.831,63.809,9.459,9.576,5.777,0.534,1.485
0.841,63.804,9.463,9.645,5.761,0.534,1.451
0.851,63.797,9.466,9.713,5.744,0.534,1.416
0.861,63.788,9.468,9.781,5.726,0.535,1.381
0.871,63.777,9.469,9.848,5.707,0.535,1.346
0.881,63.763,9.469,9.914,5.687,0.535,1.310
0.891,63.748,9.468,9.980,5.666,0.535,1.274
0.901,63.730,9.465,10.046,5.644,0.535,1.238
0.911,63.711,9.461,10.111,5.621,0.534,1.201
0.921,63.689,9.456,10.175,5.598,0.534,1.164
0.931,63.665,9.450,10.239,5.573,0.533,1.127
0.941,63.639,9.443,10.302,5.548,0.532,1.089
0.951,63.611,9.435,10.364,5.522,0.532,1.051
0.961,63.581,9.425,10.426,5.495,0.531,1.012
0.971,63.549,9.415,10.487,5.467,0.530,0.973
